#size	rtt
1	3.204500
1	2.450000
1	2.500500
1	2.440000
1	2.379500
1	2.449500
1	2.399500
1	2.370000
1	2.475000
1	2.409500
1	2.459500
1	2.445000
1	2.329500
1	2.680000
1	2.705500
1	2.530000
1	2.285000
1	2.534500
1	2.339500
1	2.374500
1	2.409500
1	2.440000
1	2.324500
1	2.469500
1	2.420000
1	2.374500
1	2.310000
1	2.345000
1	2.530500
1	2.450000
1	2.524500
1	2.415000
1	3.135000
1	2.495500
1	2.404500
1	2.475500
1	2.460500
1	2.525000
1	2.479500
1	2.454500
1	2.425000
1	2.550000
1	2.504500
1	2.560000
1	2.479500
1	2.495500
1	2.570000
1	2.479500
1	2.459500
1	2.504500
1	2.510000
1	2.515000
1	2.544500
1	2.574500
1	2.495000
1	2.420500
1	2.484500
1	2.590000
1	2.565000
1	2.459500
1	2.464500
1	2.469500
1	2.510000
1	2.440000
1	2.410000
1	2.450000
1	2.379500
1	2.430000
1	2.370000
1	2.395500
1	2.450000
1	2.370000
1	2.329500
1	2.385000
1	2.374500
1	2.374500
1	2.355500
1	2.465000
1	2.530000
1	2.330000
1	2.379500
1	2.395000
1	2.420000
1	2.309500
1	2.444500
1	2.434500
1	2.400000
1	2.335000
1	2.469500
1	2.360000
1	2.369500
1	2.454500
1	2.459500
1	2.415500
1	2.559500
1	2.440000
1	2.360000
1	2.370000
1	2.305000
1	2.399500
1	2.395000
1	2.374500
1	2.340000
1	2.440000
1	2.430000
1	2.470000
1	2.384500
1	2.415500
1	2.450000
1	2.399500
1	2.439500
1	2.290000
1	2.354500
1	2.389500
1	2.395000
1	2.375000
1	2.409500
1	2.380000
1	2.395000
1	2.420000
1	2.425000
1	2.355000
1	2.425000
1	2.399500
1	2.335000
1	2.794500
1	2.589500
1	2.415000
1	2.449500
1	2.354500
1	2.425000
1	2.420000
1	2.515000
1	2.395000
1	2.589500
1	2.350000
1	2.445000
1	2.409500
1	2.404500
1	2.365000
1	2.484500
1	2.479500
1	2.355000
1	2.405000
1	2.420500
1	2.350000
1	2.384500
1	2.374500
1	2.484500
1	2.484500
1	2.384500
1	2.404500
1	2.520000
1	2.405000
1	2.399500
1	2.399500
1	2.325000
1	2.374500
1	2.484500
1	2.514500
1	2.300000
1	2.455000
1	2.364500
1	2.360000
1	2.404500
1	2.375500
1	2.384500
1	2.299500
1	2.364500
1	2.370000
1	2.465500
1	2.360000
1	2.324500
1	2.405000
1	2.425000
1	2.390000
1	2.404500
1	2.399500
1	2.299500
1	2.359500
1	2.440500
1	2.365000
1	2.445000
1	2.354500
1	2.635000
1	2.379500
1	2.445000
1	2.395000
1	2.335000
1	2.495000
1	2.459500
1	2.374500
1	2.415500
1	2.395000
1	2.465000
1	2.420000
1	2.390000
1	2.440000
1	2.409500
1	2.340500
1	2.315000
1	2.330000
1	2.360000
1	2.519500
1	2.390000
1	2.475000
1	2.464500
1	2.390000
1	2.600000
1	2.350000
1	2.390000
1	2.385000
1	2.490000
1	2.415000
1	2.370000
1	2.355000
1	2.410000
1	2.320000
1	2.454500
1	2.400000
1	2.404500
1	2.545000
1	2.365000
1	2.365000
1	2.330000
1	2.390000
1	2.325000
1	2.415000
1	2.375000
1	2.380000
1	2.444500
1	2.360500
1	2.450000
1	2.400000
1	2.320000
1	2.385000
1	2.340000
1	2.404500
1	2.370000
1	2.454500
1	2.350000
1	2.385000
1	2.359500
1	2.389500
1	2.429500
1	2.315000
1	2.320000
1	2.309500
1	2.354500
1	2.349500
1	2.545500
1	2.380000
1	2.390500
1	2.425000
1	2.990000
1	2.444500
1	2.429500
1	2.460500
1	2.334500
1	2.374500
1	2.349500
1	2.374500
1	2.430000
1	2.404500
1	2.340000
1	2.340000
1	2.390000
1	2.395500
1	2.339500
1	2.464500
1	2.374500
1	2.329500
1	2.340000
1	2.399500
1	2.365000
1	2.404500
1	2.330000
1	2.370000
1	2.390000
1	2.350000
1	2.324500
1	2.360000
1	2.304500
1	2.339500
1	2.414500
1	2.510000
1	2.470000
1	2.329500
1	2.435500
1	2.384500
1	2.355000
1	2.415500
1	2.454500
1	2.415000
1	2.379500
1	2.469500
1	2.409500
1	2.359500
1	2.360000
1	2.444500
1	2.360000
1	2.360000
1	2.390000
1	2.390000
1	2.425000
1	2.404500
1	2.340000
1	2.354500
1	2.350000
1	2.360000
1	2.355000
1	2.495000
1	2.354500
1	2.459500
1	2.429500
1	2.435000
1	2.299500
1	2.525500
1	2.545000
1	2.274500
1	2.445000
1	2.354500
1	2.294500
1	2.320000
1	2.420000
1	2.365000
1	2.404500
1	2.345000
1	2.390000
1	2.395500
1	2.454500
1	2.395000
1	2.354500
1	2.524500
1	2.970000
1	2.430000
1	2.379500
1	2.299500
1	2.485000
1	2.439500
1	2.444500
1	2.445000
1	2.399500
1	2.379500
1	2.519500
1	2.484500
1	2.420000
1	2.425000
1	2.475500
1	2.484500
1	2.509500
1	2.495000
1	2.450000
1	2.555000
1	2.420500
1	2.479500
1	2.405000
1	2.530000
1	2.475000
1	2.504500
1	2.450000
1	2.440000
1	2.440000
1	2.475500
1	2.419500
1	2.639500
1	2.490000
1	2.464500
1	2.365500
1	2.340000
1	2.425500
1	2.265000
1	2.395000
1	2.365000
1	2.454500
1	2.415000
1	2.335000
1	2.390500
1	2.320000
1	2.364500
1	2.355000
1	2.420000
1	2.495500
1	2.415000
1	2.389500
1	2.354500
1	2.390000
1	2.309500
1	2.334500
1	2.405500
1	2.419500
1	2.355000
1	2.399500
1	2.329500
1	2.445000
1	2.314500
1	2.330000
1	2.415500
1	2.415000
1	2.345500
1	2.335000
1	2.475000
1	2.294500
1	2.365000
1	2.415000
1	2.305000
1	2.360000
1	2.364500
1	2.360000
1	2.485000
1	2.399500
1	2.359500
1	2.395000
1	2.460000
1	2.434500
1	2.425000
1	2.390500
1	2.349500
1	2.385000
1	2.380000
1	2.435000
1	2.399500
1	2.444500
1	2.350000
1	2.299500
1	2.530500
1	2.299500
1	2.324500
1	2.360000
1	2.425000
1	2.380000
1	2.429500
1	2.354500
1	2.334500
1	2.434500
1	2.324500
1	2.324500
1	2.380000
1	2.330000
1	2.324500
